id,cleaned_name
57b2810df3e5bb6325a8d06f,"Blankenberge, Belgium"
57b28609f3e5bb6325a8dcfd,"Bluffton, Ohio"
57b281e2f3e5bb633187201b,"Black Dog, United Kingdom"
57b28289f3e5bb6331872209,"Blakely, Pennsylvania"
57b28571f3e5bb631851d197,"Blundeston, United Kingdom"
57b28490f3e5bb6339576ad9,"Blainville, Canada"
57b284fef3e5bb6331872761,"Blackalls Park, Australia"
57b280b8f3e5bb631ca495d1,"Bletchley, United Kingdom"
57b2808af3e5bb63149eeaeb,"Blievenstorf, Germany"
57b281eff3e5bb6321204e1c,"Bloomfield, Iowa"
57b280f0f3e5bb6331871be9,"Bladensburg, Maryland"
57b28154f3e5bb631851c7af,"Blairstown, New Jersey"
57b287edf3e5bb631851d5f4,"Blagdon, United Kingdom"
57b2815cf3e5bb6339576260,"Blaye, France"
57b291def3e5bb631851df87,"Blanket, Texas"
57b288bff3e5bb6321205ad5,"Blagoevgrad Province, Bulgaria"
57b2852bf3e5bb6339576c0b,"Bloomery, West Virginia"
57b28afaf3e5bb6325a8e371,"Bloomingburg, New York"
57b2813bf3e5bb631851c72e,"Blackstone, Illinois"
57b28227f3e5bb6321204ed0,"Black Eagle, Montana"
57b28998f3e5bb6331872d44,"Blue Mound, Kansas"
57b27fcdf3e5bb5995d64380,"Bloomsbury, Australia"
57b282aef3e5bb634182b529,"Blue Mounds, Wisconsin"
57b281baf3e5bb63149ef27d,"Blairstown, Iowa"
57b281cbf3e5bb6331871fca,"Blovice, Czech Republic"
57b288a4f3e5bb6325a8e091,"Black Marsh, United Kingdom"
57b27fe4f3e5bb59b52adffa,"Blankenburg, Germany"
57b2907cf3e5bb63395777cb,"Blachly, Oregon"
57b291eaf3e5bb63212062a1,"Black Lick, Pennsylvania"
57b280a2f3e5bb63318719bf,"Blackwater, United Kingdom"
57b290fdf3e5bb634182c73a,"Blissfield, Ohio"
57b28c7bf3e5bb63149f058f,"Blokzijl, Netherlands"
57b290eef3e5bb6325a8e8b7,"Black Jack, Australia"
57b290acf3e5bb6331873393,"Blessing, Texas"
57b28558f3e5bb631851d16a,"Blairhoyle, United Kingdom"
57b2831ff3e5bb63149ef763,"Blue Grass, Iowa"
57b28b83f3e5bb634182c1f8,"Blegny, Belgium"
57b28072f3e5bb6339575bff,"Blackmoor Gate, United Kingdom"
57b2859df3e5bb634182babd,"Blokker, Netherlands"
57b2816cf3e5bb63149ef0f5,"Bliss, Idaho"
57b289a0f3e5bb6339577157,"Bloomingburg, Ohio"
57b284a4f3e5bb631ca4a246,"Bluffton, Canada"
57b28a8bf3e5bb6331872e3a,"Blanca, Colorado"
57b284dbf3e5bb6331872729,"Black Earth, Wisconsin"
57b28234f3e5bb6325a8d530,"Black Creek, Wisconsin"
57b28408f3e5bb6339576a21,"Bloomburg, Texas"
57b28a09f3e5bb6331872dc4,"Blagoevgrad, Bulgaria"
57b28354f3e5bb6325a8d81f,"Blantyre, United Kingdom"
57b28518f3e5bb63149efb61,"Blackbraes, United Kingdom"
57b28953f3e5bb6325a8e185,"Bluff City, Arkansas"
57b28e41f3e5bb631851dc94,"Blanchard, Louisiana"
57b28a91f3e5bb63149f038d,"Blewbury, United Kingdom"
57b28497f3e5bb634182b8fe,"Blangy-sur-Bresle, France"
57b290ebf3e5bb63149f09b5,"Blackbrook, United Kingdom"
57b28ea0f3e5bb6339577619,"Blekendorf, Germany"
57b287faf3e5bb634182be27,"Blakeslee, Ohio"
57b280adf3e5bb6331871a17,"Blaxland, Australia"
57b28dfff3e5bb63149f0706,"Blanzac-Porcheresse, France"
57b27fe1f3e5bb59b52adfcc,"Bloomfield, Australia"
57b28280f3e5bb633957663f,"Bloomfield, Missouri"
57b2815df3e5bb631851c7d9,"Blachownia, Poland"
57b28f84f3e5bb6325a8e799,"Bluff Dale, Texas"
57b2822af3e5bb634182b3b0,"Bluff Springs, Illinois"
57b28cc4f3e5bb6339577480,"Blooming Prairie, Minnesota"
57b28160f3e5bb6339576271,"Blenheim, New Zealand"
57b280b6f3e5bb632120486a,"Blencow, United Kingdom"
57b29143f3e5bb633187340a,"Blížejov, Czech Republic"
57b28907f3e5bb6321205b17,"Blodgett, Missouri"
57b28c2bf3e5bb63149f0538,"Blaslay, France"
57b28ac7f3e5bb6331872e72,"Bleiblerville, Texas"
57b28bc6f3e5bb634182c2c3,"Bloomingdale, Michigan"
57b281d5f3e5bb634182b288,"Blanzy, France"
57b28b84f3e5bb631ca4ab54,"Bloomer, Wisconsin"
57b28e18f3e5bb631851dc79,"Blaine, Tennessee"
57b2915df3e5bb63149f0a14,"Blair, South Carolina"
57b28194f3e5bb631ca49a80,"Blue Ridge Summit, Pennsylvania"
57b287baf3e5bb6325a8df7e,"Blue Mound, Illinois"
57b28308f3e5bb631ca49efc,"Blanchester, Ohio"
57b289f2f3e5bb63395771a8,"Blue Ridge, Texas"
57b28264f3e5bb6325a8d5a6,"Bleadney, United Kingdom"
57b28284f3e5bb6321204fd4,"Blackfordby, United Kingdom"
57b286d0f3e5bb632120581a,"Bluford, Illinois"
57b28098f3e5bb631ca494e0,"Bli Bli, Australia"
57b2826df3e5bb6321204f8e,"Blendworth, United Kingdom"
57b280f3f3e5bb6331871bf8,"Blyton, United Kingdom"
57b28e8bf3e5bb6339577600,"Blaubach, Germany"
57b284f6f3e5bb631851d0c1,"Blagoveshchenka, Russia"
57b280fcf3e5bb631ca497a6,"Blubberhouses, United Kingdom"
57b28cdff3e5bb6321205f0a,"Bloomdale, Ohio"
57b290b2f3e5bb6325a8e87e,"Blue Point, New York"
57b28c9bf3e5bb634182c385,"Blue Ball, Pennsylvania"
57b28286f3e5bb634182b4bc,"Blomesche Wildnis, Germany"
57b28789f3e5bb6339576f08,"Bloomingdale, Ohio"
57b28429f3e5bb634182b82e,"Blackham, United Kingdom"
57b28cd4f3e5bb634182c3c1,"Blue Jay, California"
57b2860df3e5bb631ca4a4b9,"Blum, Texas"
57b2859df3e5bb631851d1e2,"Blanchard, Idaho"
57b28146f3e5bb634182b00d,"Black Diamond, Washington"57b27fd0f3e5bb598de8634a,"Aachen, Germany"
57b27eff122e5a5424ce9979,"Aalst, Belgium"
57b28094f3e5bb6321204763,"Aarhus, Denmark"
57b27fcef3e5bb59acf12993,"Aarle-Rixtel, Netherlands"
57b27fd9f3e5bb59acf12af2,"Aargau, Switzerland"
57b280d7f3e5bb6331871b50,"Aalen, Germany"
57b280aef3e5bb6325a8ce28,"Aalsmeer, Netherlands"
57b28104f3e5bb63149eee9f,"Aalter, Belgium"
57b280c4f3e5bb63212048c4,"Aalborg, Denmark"
